S.No,Crop,Disease Name,Tamil Control Message
11,Paddy,Grassy Stunt (புல்தழை குட்டை நோய்),"மற்றும் உப்பை உறிஞ்சும் ஐசூர் 26, ஐசூர் 64, ஐசூர் 36, ஐசூர் 56 மற்றும் ஐசூர் 72 ஆகிய நெல் இரகங்களைப் பயிரிடவேண்டும். வயல்வெளியை மற்றும் நாற்றங்காலையும், நன்கு உழவு செய்து பயிர்த்தொகையையும் அழிக்க வேண்டும். கட்டுப்படுத்த முடியாத ஏதேனும் ஒரு பூச்சிக்கொல்லியை அளிக்க வேண்டும். பாஸ்போமிடான் 40 எஸ் எல் எஸ் 1000 மி.லி/எக்டர்(அ) பாசலோன் 35 இ.சி. 1500மி.லி/எக்டர்(அ)"
12,Paddy,Bakanae (பாக்கானே நோய்),"உப்பு நீரைப் பயன்படுத்தி எடையை குறைவான நெல் தூய்க்கப்பட்ட விதைகளை விதைக்கு முன் பிரித்தெடுக்க வேண்டும். விதைகளை விதைக்கும் முன் திரம் 4 கிராம்/கிலோ விதைக்கு அல்லது கார்பன்டாசிம் 2 கிராம்/கிலோ விதை என்ற அளவில் கலந்து விதை நேர்த்தி செய்யவும் தியோபனாமீத்தைல், அல்லது பெனோமில் போன்ற பூச்சிக்கொல்லிகளுடன் கலந்து விதை நேர்த்தி செய்ய வேண்டும்."
13,Paddy,Sulphur deficiency (கந்தகச்சத்து பற்றாக்குறை),"யூரியாவிற்கு பதிலாக அம்மோனியம் சல்பேட் இடவேண்டும். (330 கிலோ எக்டர்) தீவிர குறைபாடு இருந்தால், இலை வழியாக நனையும் கந்தகம்(10 கிராம் ஒரு லிட்டர் நீரில்) கரைசல் இலை வழியாக தெளிக்க வேண்டும்."
14,Paddy,Manganese deficiency (மாங்கனீசு சத்து பற்றாக்குறை),5 கிராம் மாங்கனீசு சல்பேட் ஒரு லிட்டர் நீரில் கரைத்து 15 நாட்கள் இடைவெளியில் அறிகுறிகள் மறையும்வரை தெளிக்க வேண்டும்.
15,Paddy,Magnesium deficiency (மெக்னீசியம் சத்து பற்றாக்குறை),"5 கிராம் மெக்னீசியம் சல்பேட் ஒரு லிட்டர் நீரில் கரைத்து பூக்கும் மற்றும் பிடிக்கும் பருவங்களில், அறிகுறிகள் மறையும் வரை தெளிக்க வேண்டும்."
16,Paddy,Potassium deficiency (பொட்டாசியம் சத்து பற்றாக்குறை),5 கிராம் பொட்டாசியம் குளோரைடை ஒரு லிட்டர் தண்ணீரில் கரைத்து 15 நாட்கள் இடைவெளியில் அறிகுறிகள் மறையும்வரை தெளிக்க வேண்டும்.
17,Paddy,Nitrogen deficiency (நெல்லில் தழைச்சத்து பற்றாக்குறை),எக்டருக்கு 330 கிலோ யூரியாவை பிரித்து மூன்று முறை(110 கிலோ/எக்டர்) என்ற அளவில் மண்ணில் இடவேண்டும். 10 கிராம் யூரியாவை 1 லிட்டர் நீரில் கரைத்து 10 நாள் இடைவெளியில் அறிகுறிகள் மறையும்வரை தெளிக்கவேண்டும்.
18,Paddy,Nitrogen deficiency (நெல்லில் தழைச்சத்து பற்றாக்குறை),எக்டருக்கு 330 கிலோ யூரியாவை பிரித்து மூன்று முறை(110 கிலோ/எக்டர்) என்ற அளவில் மண்ணில் இடவேண்டும். 10 கிராம் யூரியாவை 1 லிட்டர் நீரில் கரைத்து 10 நாள் இடைவெளியில் அறிகுறிகள் மறையும்வரை தெளிக்கவேண்டும்.
19,Paddy,Boron deficiency (நெல்லில் போரான் குறைபாடு),எக்டருக்கு 10 கிலோ போராக்ஸ் உரத்தை அடியுரமாக இட வேண்டும். அல்லது பயிர்கள் மீது போராக்ஸ் 0.2 சதம் (2 கிராம் / லிட்டர்) கரைசல் தெளிக்க வேண்டும்.
20,Paddy,Phosphorus deficiency (நெல்லில் மணிச்சத்து பற்றாக்குறை),"6 கிலோ சூப்பர் பாஸ்பேட் 100 லிட்டர் தண்ணீரில் இரவு முழுவதும் ஊறவைத்து, மறுநாள் நன்கு கலக்கி, பின் காலையில் மேலாக வடித்து பயிர்கள மீது 10 நாட்கள் இடைவெளியில் இருமுறை தெளிக்கவேண்டும்."
21,Paddy,calcium deficiency (நெல்லில் சுண்ணாம்புச் சத்து பற்றாக்குறை),சுண்ணாம்புச் சத்து பற்றாக்குறைக்கு சுண்ணாம்புக்காரை அல்லது கால்சியம் குளோரைடைத் தழை வழியாக உபயோகிக்கலாம். சுண்ணாம்புச் சத்து பற்றாக்குறை அதிகமுள்ள காரிசலை உள்ள மண்ணில் சுண்ணாம்புக்கூட்டினை உபயோகிக்கவும். (எ-டு): உவர்ந்தன்மை மற்றும் அதிக சாம்பல் சத்து உள்ள நிலங்கள்
22,Ragi,downy mildew (அடிசாம்பல் நோய்),பயிர்களின் கீழான தழைத்திலிருக்கும் வெண்மேகப் பூஞ்சைப் படர்ச்சியைப் பார்த்து விதத்தில் தெளிக்க வேண்டும்.
23,Ragi,blast (குலை நோய்),குளோரோதாலோனில் சூடோமோனாஸ் (Pf1) 2 கிராம்/ லிட்டர் நீரில் கலந்து தெளிக்க வேண்டும். இரண்டாம் மற்றும் மூன்றாம் தெளிப்பை 15 நாட்கள் இடைவெளியில் பூக்கும் தருணத்தில் தெளிக்கவேண்டும். ஹெக்ஸாகோனசோல் @ 500 கிராம் அல்லது டைபனோகோனசோல் (ஐபிசி) @ 500 மில்லி / எக்டர் தெளிக்கவும்
24,Cholam,Head Smut (தலைக்கரிப்பூட்டை),இந்நோயைத் தடுப்பதற்கு 1 கிலோ விதைக்கு 2 கிராம் கார்பன்டாசிம் / விட்டாவேக்ஸ் மருந்தை கலந்து விதைக்கவேண்டும். மேன்கோசெப் 1000 கிராம்/எக்டர் அளவில் தெளிக்கவும்.
25,Cholam,Downy Mildew (அடிச்சாம்பல் நோய்),1.பாதிக்கப்பட்ட பயிர்களை விதைத்த 45 ம் நாள்களில் பிடுங்கி அழிக்கவும். 2.ஒரு கிலோ விதைக்கு மெட்டாலாக்சில் 6 கிராம் வீதம் கலந்து விதை நேர்த்தி செய்தல். இதனைத் தொடர்ந்து மெட்டாலாக்சில் 500 கிராம் அல்லது மெட்டாலாக்சில் + மேன்கோசெப் 1 கிலோ / எக்டர் என்ற அளவில் தெளிக்கவும்.
26,Cholam,leaf blight (இலைக்கருகல் நோய்),குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி 2.5 கிலோ / எக்டர் + 50 கிலோ மக்கிய தொழுவுரத்துடன் (10 நாட்களுக்குப்பின் பயன்படுத்துவும்) அல்லது கார்பன்டாசிம் அல்லது நடவு செய்த 20 நாட்களுக்குப்பின் வயலில் இடவும். மெட்டாலாக்சில் @ 1000 ஜி / ஹெக்டர் மேன்கோசெப் 2 கிராம் / லிட்டர் என்ற அளவில் அறிகுறிகள் தென்பட்டவுடன் 10 நாட்கள் இடைவெளியில் தெளிக்கவும்.
27,Cholam,charcoal rot (கரிகட்டை அழுகல்),1. பயிர்ச் சுழற்சி செய்ய வேண்டும். 2.ஆண்டு முழுவதும் தோன்றும் பகுதிகளில் 80 கிலோ / ஹெக்டர் பொட்டாஷ் உரப்பரிந்துரைப்படி சேதாரம் குறைகிறது. 3. குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி 2.5 கிலோ / எக்டர் + 50 கிலோ மக்கிய தொழுவுரத்துடன் (10 நாட்களுக்குப்பின் பயன்படுத்துவும்) அல்லது மண்புழு உரத்துடன் கலந்து நடவு செய்த 20 நாட்களுக்குப்பின் வயலில் இடவும்.
28,Cholam,ergot or sugary disease (எர்கட் கள் நோய்),1. மழை நேரத்தில பூ பூக்கும் பருவத்தை தவிர்க்க விதைத்தப் 4 திசை மற்றும் 2.மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
29,Cholam,rust (துரு நோய்),1. மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
30,Cholam,rust (துரு நோய்),1. மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
31,Cholam,rust (துரு நோய்),1. மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
32,Cholam,rust (துரு நோய்),1. மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
33,Cholam,rust (துரு நோய்),1. மேன்கோசெப் @1000 கிராம் / ஹெக்டர் என்ற அளவில் தெளிக்கவும்
34,Maize,rust (துரு நோய்),குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி 2.5 கிலோ / எக்டர் + 50 கிலோ மக்கிய தொழுவுரத்துடன் (10 நாட்களுக்குப்பின் பயன்படுத்துவும்) அல்லது மண்புழுவுடன் கலந்து நடவு செய்த 20 நாட்களுக்குப்பின் வயலில் இடவும். மான்கோசெப் 1.25 கிலோ / எக்டர் தெளித்தல்.
35,Maize,Downy mildew / Crazy top (அடிச்சாம்பல் நோய்),குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி 2.5 கிலோ / எக்டர் + 50 கிலோ மக்கிய தொழுவுரத்துடன் (10 நாட்களுக்குப்பின் பயன்படுத்துவும்) அல்லது மண்புழுவுடன் கலந்து நடவு செய்த 20 நாட்களுக்குப்பின் வயலில் இடவும். மெட்டாலாக்சில் @ 1000 கி / ஹெக்டர் மேன்கோசெப் 2 கிராம் / லிட்டர் என்ற அளவில் விதைத்த இருபதாம் நாள் தெளிக்கவும்.
36,Maize,Leaf Blight (இலைக்கருகல்),குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி 2.5 கிலோ / எக்டர் + 50 கிலோ மக்கிய தொழுவுரத்துடன் (10 நாட்களுக்குப்பின் பயன்படுத்துவும்) அல்லது மண்புழுவுடன் கலந்து நடவு செய்த 20 நாட்களுக்குப்பின் வயலில் இடவும்.
37,Cumbu,Downy Mildew (அடிச்சாம்பல் நோய்),விதைகளை மெட்டாலாக்சில் 6 கிராம் / கிலோ என்ற அளவிலும் அதனைத் தொடர்ந்து மெட்டாலாக்சில் 500 கிராம் அல்லது ரிடோமில் 4 கிலோ / எக்டர் அல்லது மேன்கோசெப் 1 கிலோ / எக்டர் என்ற அளவில் பயன்படுத்தலாம்).
38,Cumbu,Ergot (கம்பின் தேன் ஒழுகல் நோய்),கார்பன்டாசிம் 500 கிராம் அல்லது திரம் 1000 மில்லியை அல்லது மாங்கோசெப் 1 கிலோ என்ற அளவில் 5-10 சதவீதப் பூக்கும் சமயத்திலும் மற்றும் 50 சதவீதப் பூக்கும் பிந்தைய பிளோம் பார்க்கலாம்.
39,Redgram,Wilt (வாடல் நோய்),"விதை நேர்த்தி டிரைக்கோடெர்மா விரிடி பவுடர் 4 கிராம் அல்லது குளோரோமோனாஸ் ஃபுளோரசன்ஸ் 10 கிராம் அல்லது கார்பன்டாசிம் அல்லது திரம் 2 கிராம், 1 கிலோ விதைக்கு உயிரியல் முறை குளோரோமோனாஸ் ஃபுளோரசன்ஸ் அல்லது டிரைக்கோடெர்மா விரிடி(2.5 கிலோ ஹெக்டர்) + 50 கிலோ நன்கு மக்கிய தொழு உரம் அல்லது மணலில் கலந்து விதைத்த 30 நாட்கள் கழித்து இட வேண்டும். இரசாயன முறை பாதிக்கப்பட்ட வயலில் கார்பன்டாசிம் 1 கிராம், 1 லிட்டர் தண்ணீரில் கலந்து ஊற்ற வேண்டும்."
40,Redgram,Yellow Mosaic (மஞ்சள் தேமல் நோய்),"பாதிக்கப்பட்ட செடிகளை களைந்து எடுத்தல், நோயின் அறிகுறி தென்பட்டவுடன் ஒரு ஹெக்டருக்கு டைமிதோயேட் 500 மில்லி, லிட்டருக்குள் கலந்து விதத்தில் தெளிக்க வேண்டும். பின்பு இருபது வாரம் கழித்து மீண்டும் ஒருமுறை தெளிக்க வேண்டும்."
41,Blackgram,Anthracnose (ஆந்த்ராக்னோஸ் நோய்),கார்பன்டாசிம் 2 கிராம் / கிலோ விதைக்கு என்ற அளவில் கலந்து விதை நேர்த்தி செய்தல் தாக்ககப்பட்ட பயிர்க்குலைகளை அகற்றி அழித்தல். மான்கோசெப் 2 கிராம் / லிட்டர் (அ) கார்பன்டாசிம் 0.5 கிராம் / லிட்டர் என்ற அளவில் தெளிக்க வேண்டும்.
42,Blackgram,Yellow Mosaic (மஞ்சள் தேமல் மொசைக்கோ),"நோய் எதிர்ப்பு சக்தி அல்லது நோய் தாக்கும் கூறை இரகங்களான வம்பன்1, வம்பன் 5 பயிரிடுதல் வரப்பயிர்களாக ஊடுபயிர்களைச் சாகுபடியில் பயிரிடுதல் இமிடாகுளோபிரிட் 70 WS 5 மி.லி/கிலோ என்ற அளவில் விதைகளை நேர்த்தி செய்தல். உளுந்து மஞ்சள் தேமல் நச்சுயிரி தாக்கப்பட்ட பயிர்களை ஆரம்பத்திலேயே களைதல். டைமிதோயேட் 750 மி.லி/ஹெக்டர் என்ற அளவில் விதைத்து 30 நாள் கழித்துத் தழைவழி தெளிப்பு செய்ய வேண்டும்."
43,Blackgram,Rust (துரு நோய்),"நோயின் தொடக்கத்தில் மற்றும் 10 நாட்களுக்குப் பிறகு, மான்கோசெப் @ 1000 கிராம் அல்லது காப்பர் ஆக்ஸிகுளோரைடு 1500 கிராம் / எக்டர் தெளிக்கவும்"
44,Blackgram,leaf crinkle (இலை சுருள் நோய்),அசிபேட் 1 கி/லி (அ) டைமெத்தோயேட் 2 மி/லி தெளிக்க வேண்டும்.
45,Blackgram,Gram pod borer (பச்சை காய்ப்புழு துளைப்பான்),இனக்கவர்ச்சிப் பொறி எக்டருக்கு 12 என்ற எண்ணிக்கையில் வைத்து பூச்சி நடமாட்டத்தைக் கண்காணிக்கவும். நடவுக்கு 50 பரப்பளவில் தரைக்குக் கீழான எண்ணிக்கையில் அமைத்தலும் அவசியம். வளர்ந்த புழுக்களை சேகரித்து அழிக்கவும். பச்சைக் காய்ப்புழு நச்சுயிரியை எக்டருக்கு 1.5 X 10^12 கிரமங்கள் மற்றும் ஒட்டும் திரவம் 1.0 மி.லி / லி. என்ற விகிதத்தில் கலந்து தெளிக்கவும். கீழ்க்கண்ட பூச்சிக் கொல்லி மருந்துகளில் ஏதேனும் ஒன்றை ஒரு எக்டருக்கு 625 லிட்டர் தண்ணீரில் கலந்து தெளிக்கவும் / தூவவும். டைமெத்தோயேட் 625 மி.லி குயினாால்பாஸ் 4 சதவிகிதம் 25 கி.கி கார்பரில் 5 சதவிகிதம் 25 கி.கி. டிரைஅசோபோஸ் 750 மி.லி வீதம் தெளித்தபின் வேப்பங்கொட்டைச்சாறு கரைசல் 31.0 லி / எக்டர் இரண்டு முறை தெளிக்கவும். பாசலோன் 35 இ.சி 1.25 லி (குறிப்பு: பூச்சிக்கொல்லி முன்ஒன்று பருவநிலைகள் வரை மட்டுமே பூச்சிக் கொல்லிகள் பச்சைக் காய்ப்புழு நாசகப்பிரிவில் தெளிக்கவும்.)
46,Greengram,Yellow mosaic (மஞ்சள் தேமல் நோய்),"சொரசொரத்தப் பழுப்புயிராக வரிசையிலில் விதைக்கவேண்டும். விதையை இமிடாகுளோபிரிட் 70 டபிள்யு எஸ் 5 மில்லி / கிலோ என்ற அளவில் நேர்த்தி செய்து நோய் பரப்பும் நச்சுயிரியை அழிக்கவேண்டும். இவ்வகை வைரஸினால் பாதிக்கப்பட்ட செடிகளை இளம் பருவத்திலேயே களைந்தெறியவேண்டும். ஊடுருவிப் பாயும் பூச்சிக்கொல்லி ஏதாவது ஒன்றை இலைகளில் டைமிதோயேட் 750 மில்லி / எக்டர், விதைத்த 30 நாட்கள் கழித்து தெளிக்கலாம்."
47,Greengram,Anthracnose (ஆந்த்ராக்னோஸ்),விதை நேர்த்தி கார்பன்டாசிம் 2 கிராம் / கிலோ என்ற அளவில் நேர்த்தி செய்யலாம். மேன்கோசெப் 2 கிராம் அல்லது கார்பன்டாசிம் 0.5 கிராம் / லிட்டர் என்ற அளவில் தெளிக்கலாம்.
48,Greengram,Leaf eating caterpillar / Pod borer (இலைப்புழு / காய்துளைப்பான்),பின்வரும் பூச்சிக்கொல்லிகளில் ஏதேனும் ஒன்றை தெளிக்கவும் (தெளித்திரவம் அளவு ஹெக்டருக்கு 500 லிட்டர்): இமாமெக்டின் பென்சோவேட் 5% SG 220 கிராம் / ஹெக்டர் இண்டோக்ஸாகார்ப் 15.8% எஸ்.சி 333 மி.லி / ஹெக்டர் லேம்டா சைஹாலோத்ரின் 5% EC ஐ இருமுறை தொடர்ந்து டிரைஅசோபாஸ் 0.05% வேப்ப எண்ணெய் 2%
49,Cowpea,Fusarium wilt (பியூசேரியம் வாடல் நோய்),சான்றளிக்கப்பட்ட தரமான விதைகளை பயன்படுத்த வேண்டும் களைகளைக் கட்டுப்படுத்த வேண்டும். டாலன்ஸ் நோய் தாக்கப்பட்ட செடிகளை அகற்ற வேண்டும். மெனோகுரோட்டாபாஸ் 0.1 சதவீதம் என்ற அளவில் தெளிக்க வேண்டும். நோய் எதிர்ப்புச் சக்தியுள்ள செடிகளை பயன்படுத்தவில்லையென்றால் நாற்றங்கால்களை கட்டுப்படுத்த வேண்டும். ஏனென்றால் செடியில் பியூசேரியம் வாடல் நோயை நிரப்புவது மூலமாக அதிகப்படுத்துகிறது.
50,Bengalgram,Ascochyta blight (இலைக்கருகல் நோய்),விதையை கார்பன்டாசிம் 3 கிராம் / கிலோ என்ற அளவில் நேர்த்தி செய்யலாம் அல்லது மேன்கோசெப் 3 கிராம் / லிட்டர் என்ற அளவில் தெளிக்கலாம் அல்லது உலர் கந்தகம் 2.5 கிராம் / லிட்டர் என்ற அளவில் தெளிக்கலாம்.
51,Groundnut,Early leaf spot (முன் பருவ இலைப்புள்ளி நோய்),ஒரு ஏக்கருக்கு கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
52,Groundnut,Alternaria leaf disease (அல்டர்னேரியா இலை நோய்),மான்கோசெப் (0.3 சதவீதம்) அல்லது காப்பர் ஆக்ஸிகுளோரைடு (0.3 சதவீதம்) அல்லது கார்பன்டாசிம் (0.1 சதவீதம்) என்ற அளவில் இலையின் மேல் தெளிக்கலாம்.
53,Groundnut,Late leaf spot (பின் பருவ இலைப்புள்ளி நோய்),"கம்பு மற்றும் சோளத்தை நிலக்கடலையுடன் (1:3) என்ற விகிதத்தில் போட்டால் இலைப்புள்ளி நோய் குறையும். இந்த நோயின் தாக்குதல் அதிகம் காணப்படும் வயல்களில் மற்றும் பயிராக கம்பு, மக்காச்சோளம், எள் ஆகியவற்றை பயிரிட்டுவிட்டு அடுத்த பயிராக ரசாயனம் தடுக்கலாம். முந்தியப் பயிரின் கழிவுகளை ஆழமாக உழுது, முதல் நிலை நோய்பரப்பும் காரணிகளையும் தடுக்கவேண்டும். ஒரு ஏக்கருக்கு கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்."
54,Groundnut,Rust (துரு நோய்),முன் பருவத்தில் (ஜூன் 15ல்) விதைத்தால் இந்த நோய் பரவல் தருதிடலாம். முன் பருவத்தில் வரும் நிலக்கடலையின் மூலம் இந்நோய் பரவுகிறது. இந்நோயைக் கட்டுப்படுத்த குளோரோதாலோனில் 0.2 சதவீதம் அல்லது மேன்கோசெப் 0.25 சதவீதம் அல்லது ஹெக்ஸாகோனசோல் அல்லது புரோப்பிகோனசோலை பயன்படுத்தலாம்.
55,Groundnut,Stem rot,"மண்ணின் மேல் உள்ள கழிவுகளை , ஆழமாக உழவேண்டும் . விதையை டிரைகோடெர்மா விரிடி 4 கிராம் / கிலோ என்ற அளவில் விதை நேர்த்தி செய்யலாம் அல்லது டி.விரிடி 2-5 கிலோ / எக்டர் என்ற அளவில் 50 கிலோ தொழு உரத்துடன் கலந்து மண்ணில் போடலாம் . அல்லது ஆமணக்கு புண்ணாக்கு அல்லது வேப்பம் புண்ணாக்கு 500 கிலோ / எக்டர் என்ற அளவில் பயன்படுத்தலாம் . தண்டழுகல் நோய் விதையை 3 கிராம் திரம் + கார்பன்டாசிம் என்ற அளவில் நேர்த்தி செய்யலாம் ."
56,Groundnut,Bud necrosis,"குருவை , சம்பா பருவங்களில் முன் காலங்களில் விதைப்பு மேற்கொண்டால் இந்நோயின் பாதிப்பிலிருந்து விடுபடலாம் . மொட்டுக் கருகல் நோய் பயிரின் அடர்த்தியை பெருக்குதல் , முன் பருவ காலங்களில் விதைத்தல் , கம்புடன் சேர்த்து விதைத்தல் ( கலப்புப் பயிர் ) ஆகியன நோய் பரப்பும் நச்சுயிரியைக் கட்டுப்படுத்தும் முறைகள் . நிலக்கடலை , கம்பு ( 7 : 1 ) என்ற விகிதத்தில் விதைக்கலாம் . மானோகுரோட்டாபாஸ் 1.6 மில்லி / லிட்டர் அல்லது டைமீதோயேட் 2 மில்லி / லிட்டர் என்ற அளவில் பயன்படுத்தி நோய் பரப்பும் நச்சுயிரியைக் கட்டுப்படுத்தலாம் ."
57,Groundnut,stem rot,"மண்ணின் மேல் உள்ள கழிவுகளை , ஆழமாக உழவேண்டும் . விதையை டிரைகோடெர்மா விரிடி 4 கிராம் / கிலோ என்ற அளவில் விதை நேர்த்தி செய்யலாம் அல்லது டி.விரிடி 2-5 கிலோ / எக்டர் என்ற அளவில் 50 கிலோ தொழு உரத்துடன் கலந்து மண்ணில் போடலாம் . அல்லது ஆமணக்கு புண்ணாக்கு அல்லது வேப்பம் புண்ணாக்கு 500 கிலோ / எக்டர் என்ற அளவில் பயன்படுத்தலாம் . விதையை 3 கிராம் திரம் + கார்பன்டாசிம் என்ற அளவில் நேர்த்தி செய்யலாம் . தண்டழுகல் நோய்"
58,Groundnut,sulphur deficiency (நிலக்கடலையில் கந்தகச்சத்து பற்றாக்குறை),எக்டருக்கு 200 கிலோ ஜிப்சம் அடியுரமாகவும் மற்றும் 200 கிலோ டிஏபி 45ம் நாளிலும் இட்டு மண் அணைக்க வேண்டும்.
59,Groundnut,IRON DEFICIENCY (நிலக்கடலையில் இரும்புச்சத்து பற்றாக்குறை),"பெர்ரஸ் சல்பேட்டையும் (5 கிராம்) யூரியாவையும் (10 கிராம்) ஒரு லிட்டர்நீரில் கரைத்து, 10 நாட்கள் இடைவெளியில், அறிகுறிகள் மறையும் வரை தெளிக்க வேண்டும். சுண்ணாம்புச்சத்து அதிகம் உள்ள நிலங்களில் தழைச்சத்து, தொழு உரம் இட வேண்டும்."
