District,Crop,Soil Type
Cuddalore,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Villupuram,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kallakuruchi,Rice,Black
Kallakuruchi,Pearl Millet,Black
Kallakuruchi,Sorghum,Black
Kallakuruchi,Gingelly,Black
Kallakuruchi,Finger Millet,Black
Kallakuruchi,Groundnut,Black
Kallakuruchi,Red Gram,Black
Kallakuruchi,Sugarcane,Black
Kallakuruchi,Cashew,Black
Kallakuruchi,Mango,Black
Kallakuruchi,Guards,Black
Kallakuruchi,Green Chillies,Black
Kallakuruchi,Brinjal,Black
Kallakuruchi,Tapioca,Black
Kallakuruchi,Yam,Black
Kallakuruchi,Banana,Black
Kallakuruchi,Jack,Black
Kallakuruchi,Guava,Black
Kallakuruchi,Watermelon,Black
Kallakuruchi,Turmeric,Black
Kallakuruchi,Tube rose,Black
Kallakuruchi,Crossandra,Black
Kallakuruchi,Lemongrass,Black
Vellore,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Vellore,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tirupathur,Rice,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Pearl Millet,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Sorghum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Gingelly,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Finger Millet,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Groundnut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Red Gram,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Sugarcane,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Cashew,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Mango,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Guards,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Green Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Brinjal,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Tapioca,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Yam,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Banana,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Jack,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Guava,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Watermelon,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Turmeric,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Tube rose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Crossandra,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Tirupathur,Lemongrass,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Ranipet,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Ranipet,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvannamalai,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Dharmapuri,Sorghum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Rice,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Millet,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Groundnut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Horse Gram,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Cotton,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Sugarcane,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Tapioca,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Gingelly,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Mango,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Banana,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Tobacco,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Pulses,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Jack,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Tomato,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Radish,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Brinjal,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Ladies Finger,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Pepper,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Arecanut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Cocoa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Coconut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Palmarosa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Chrysanthemum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Jasmine,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Marigold,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Rose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Tuberose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Cutflowers,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Turmeric,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Dharmapuri,Red Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Sorghum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Rice,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Millet,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Groundnut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Horse Gram,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Cotton,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Sugarcane,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Tapioca,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Gingelly,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Mango,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Banana,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Tobacco,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Pulses,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Jack,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Tomato,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Radish,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Brinjal,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Ladies Finger,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Pepper,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Arecanut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Cocoa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Coconut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Palmarosa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Chrysanthemum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Jasmine,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Marigold,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Rose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Tuberose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Cutflowers,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Turmeric,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Salem,Red Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Sorghum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Rice,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Millet,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Groundnut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Horse Gram,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Cotton,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Sugarcane,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Tapioca,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Gingelly,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Mango,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Banana,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Tobacco,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Pulses,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Jack,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Tomato,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Radish,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Brinjal,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Ladies Finger,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Pepper,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Arecanut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Cocoa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Coconut,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Palmarosa,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Chrysanthemum,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Jasmine,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Marigold,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Rose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Tuberose,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Cutflowers,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Turmeric,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Namakkal,Red Chillies,"Non Calcareous Red, Non Calcareous Brown, Calcareous Black"
Erode,Sorghum,"Red Loamy, Black"
Erode,Pulses,"Red Loamy, Black"
Erode,Groundnut,"Red Loamy, Black"
Erode,Rice,"Red Loamy, Black"
Erode,Millets,"Red Loamy, Black"
Erode,Cumbu,"Red Loamy, Black"
Erode,Cotton,"Red Loamy, Black"
Erode,Sugarcane,"Red Loamy, Black"
Erode,Ragi,"Red Loamy, Black"
Erode,Black Gram,"Red Loamy, Black"
Erode,Sunflower,"Red Loamy, Black"
